phone_2	phone_1	by	score	n
ih	ay	('r-t', 'f1')	0.652399654287	157356
aa	ah	('w-n', 's1')	0.583348846054	1998360
ah	aa	('w-n', 's1')	0.462349126284	5395572
ah	ax	('r-n', 't1')	0.625	72
ax	ah	('r-n', 't1')	0.517676767677	396
aa	ih	('m-n', 's1')	0.906039915966	19040
ih	aa	('m-n', 's1')	0.806588722445	82110
ae	ih	('th-ng', 'i1')	0.644849302744	4446
ih	ae	('th-ng', 'i1')	0.636752136752	234
aa	eh	('g-t', 'j1')	0.847851596634	160212
eh	aa	('g-t', 'j1')	0.934878286271	51350
ax	ah	('r-n', 'v2')	1.0	20
ao	ax	('b-l', 'j1')	0.734126984127	3276
ax	ao	('b-l', 'j1')	0.99883286648	4284
eh	ih	('l-t', 't1')	0.484542717741	96330
ih	eh	('l-t', 't1')	0.586680226824	162240
eh	ih	('hh-r', 'f1')	0.428985341709	262650
ih	eh	('hh-r', 'f1')	0.640080906149	61800
ay	ih	('r-t', 'v1')	0.690475488172	67804
ih	ay	('r-t', 'v1')	0.796721687411	409906
er	ih	('t-n', 'q1')	1.0	2
ay	ih	('r-t', 's1')	0.538477891156	42336
ih	ay	('r-t', 's1')	0.717590445269	86240
ah	ax	('r-n', 's1')	0.490625	4800
ax	ah	('r-n', 's1')	0.772857142857	1400
ah	ey	('w-t', 'q1')	0.713768115942	276
ey	ah	('w-t', 'q1')	0.650197628458	2024
ah	ax	('r-n', 'f2')	0.574074074074	54
ax	ah	('r-n', 'f2')	0.680555555556	216
ah	ax	('s-m', 'f1')	0.548605208674	183540
ax	ah	('s-m', 'f1')	0.54005283479	98420
aa	ih	('m-n', 'w1')	0.729583333333	2400
ih	aa	('m-n', 'w1')	0.530555555556	1440
ay	ih	('r-t', 'w3')	0.666666666667	540
ih	ay	('r-t', 'w3')	0.838235294118	1836
eh	ih	('hh-r', 't1')	0.382656267535	178220
ih	eh	('hh-r', 't1')	0.661525704809	12060
ao	ax	('b-l', 's2')	0.650808080808	138600
ax	ao	('b-l', 's2')	0.949296536797	110880
er	ih	('t-n', 'c1')	0.784937888199	1288
ih	er	('t-n', 'c1')	0.739130434783	4048
ae	ax	('k-n', 't1')	0.532012987013	15400
ax	ae	('k-n', 't1')	0.608278052882	214060
ah	ey	('w-t', 't1')	0.935497835498	6930
ey	ah	('w-t', 't1')	0.552836637047	58520
aa	ah	('w-n', 'm2')	0.617770655271	28080
ah	aa	('w-n', 'm2')	0.442355175689	42120
ae	ih	('th-ng', 'v2')	0.571494798734	88440
ih	ae	('th-ng', 'v2')	0.62568735271	25460
ay	ih	('r-t', 'j1')	0.958503401361	1470
ih	ay	('r-t', 'j1')	0.925099206349	14112
ah	ax	('s-m', 'i1')	0.493904428904	85800
ax	ah	('s-m', 'i1')	0.639035087719	25080
ae	ih	('th-ng', 't1')	0.510717116897	196788
ih	ae	('th-ng', 't1')	0.573462535594	47058
aa	ah	('w-n', 's2')	0.570927258932	5192940
ah	aa	('w-n', 's2')	0.447117027105	2792430
er	ih	('t-n', 's1')	0.765041721563	9108
ih	er	('t-n', 's1')	0.768258027849	7038
ae	ih	('th-ng', 'q1')	0.5125	80
ih	ae	('th-ng', 'q1')	0.966666666667	60
eh	ih	('hh-r', 'd1')	0.456959506517	301530
ih	eh	('hh-r', 'd1')	0.746313799622	58190
ae	uw	('y-SIL', 'm2')	0.797619047619	84
uw	ae	('y-SIL', 'm2')	0.214285714286	14
ah	ax	('s-m', 's3')	0.910714285714	56
ae	uw	('y-SIL', 'v2')	0.753469387755	4900
uw	ae	('y-SIL', 'v2')	1.0	100
aa	ah	('w-n', 't1')	0.555257569271	238266
ah	aa	('w-n', 't1')	0.459849076243	230580
ae	ih	('th-ng', 'f1')	0.310033503791	56710
ih	ae	('th-ng', 'f1')	0.698598130841	2140
ae	ax	('k-n', 'q1')	0.5625	192
ax	ae	('k-n', 'q1')	0.627083333333	960
ae	ih	('th-ng', 'w1')	0.619736174531	78840
ih	ae	('th-ng', 'w1')	0.647423352903	15330
eh	ih	('l-t', 's3')	0.483173076923	1248
ih	eh	('l-t', 's3')	0.641483516484	728
er	ih	('t-n', 'm2')	0.7	60
ih	er	('t-n', 'm2')	0.375	80
aa	ih	('m-n', 'i1')	0.80780075188	2128
ih	aa	('m-n', 'i1')	0.61753200569	11248
ae	uw	('y-SIL', 's1')	0.585755273365	37642
uw	ae	('y-SIL', 's1')	0.605701078582	6490
aa	ah	('w-n', 'f2')	0.559477124183	1530
ah	aa	('w-n', 'f2')	0.502573529412	2720
eh	ih	('l-t', 'd1')	0.635470629083	325458
ih	eh	('l-t', 'd1')	0.484050937448	192864
ae	uw	('y-SIL', 'w3')	0.756349206349	1260
uw	ae	('y-SIL', 'w3')	0.904761904762	126
eh	ih	('l-t', 'v1')	0.521946763235	548418
ih	eh	('l-t', 'v1')	0.767353344281	618728
ae	ih	('th-ng', 'f2')	0.841578947368	1900
ih	ae	('th-ng', 'f2')	0.915	400
aa	ih	('m-n', 'q1')	0.895238095238	210
ih	aa	('m-n', 'q1')	1.0	140
aa	eh	('g-t', 'w1')	0.693005671078	333270
eh	aa	('g-t', 'w1')	0.686935208866	328440
ae	ih	('th-ng', 's1')	0.615584806642	46494
ih	ae	('th-ng', 's1')	0.726258309592	29484
ay	ih	('r-t', 'd1')	0.82297979798	7920
ih	ay	('r-t', 'd1')	0.750710227273	16896
aa	ih	('m-n', 'j1')	0.966666666667	30
ih	aa	('m-n', 'j1')	0.919047619048	420
er	ih	('t-n', 'j1')	0.9	10
ih	er	('t-n', 'j1')	0.65	40
aa	ah	('w-n', 'w3')	0.612965410883	236028
ah	aa	('w-n', 'w3')	0.369151213955	407264
ao	ax	('b-l', 'm2')	0.578552971576	3870
ax	ao	('b-l', 'm2')	0.890642303433	18060
ah	ey	('w-t', 'w1')	0.751923076923	3120
ey	ah	('w-t', 'w1')	0.536314413742	64272
ae	ax	('k-n', 'w3')	0.606404958678	5808
ax	ae	('k-n', 'w3')	0.470665961945	22704
aa	ah	('w-n', 'c1')	0.583134884289	294786
ah	aa	('w-n', 'c1')	0.483760602407	567324
ah	ax	('r-n', 'd1')	0.684285714286	2100
ax	ah	('r-n', 'd1')	0.479259259259	1350
aa	eh	('g-t', 't1')	0.867575117214	688058
eh	aa	('g-t', 't1')	0.892421254216	279888
ah	ax	('s-m', 'w3')	0.511245265152	33792
ax	ah	('s-m', 'w3')	0.545423998045	32736
ae	ih	('th-ng', 'v1')	0.615944030194	86904
ih	ae	('th-ng', 'v1')	0.704912173203	19584
eh	ih	('hh-r', 'w3')	0.571967213115	18300
ih	eh	('hh-r', 'w3')	0.360655737705	1220
ah	ax	('r-n', 'm2')	0.833333333333	120
ax	ah	('r-n', 'm2')	0.513888888889	72
ao	ax	('b-l', 'w3')	0.600363108206	13770
ax	ao	('b-l', 'w3')	0.942929292929	35640
aa	ah	('w-n', 's3')	0.656926406926	2772
ah	aa	('w-n', 's3')	0.230303030303	660
ah	ey	('w-t', 'v1')	0.466049382716	324
ey	ah	('w-t', 'v1')	0.797427344529	52164
aa	ih	('m-n', 'm2')	0.571428571429	84
ih	aa	('m-n', 'm2')	1.0	14
ay	ih	('r-t', 't1')	0.693277310924	2856
ih	ay	('r-t', 't1')	0.811078431373	20400
ae	ax	('k-n', 'm2')	0.458558558559	3330
ax	ae	('k-n', 'm2')	0.54527027027	13320
ah	ax	('s-m', 's2')	0.643725410392	589680
ax	ah	('s-m', 's2')	0.558071278826	300510
ae	uw	('y-SIL', 'q1')	0.472222222222	144
uw	ae	('y-SIL', 'q1')	1.0	18
ah	ey	('w-t', 'f2')	0.98	50
ey	ah	('w-t', 'f2')	0.716666666667	1200
aa	eh	('g-t', 'v1')	0.795050571439	1643220
eh	aa	('g-t', 'v1')	0.908718954248	459000
ay	ih	('r-t', 'm2')	0.551515151515	660
ih	ay	('r-t', 'm2')	0.629509379509	2772
ae	uw	('y-SIL', 't1')	0.5125	12480
uw	ae	('y-SIL', 't1')	0.677678571429	2240
ah	ax	('r-n', 'c1')	0.581309994353	10626
ax	ah	('r-n', 'c1')	0.888923395445	9660
ao	ax	('b-l', 'f1')	0.51615942029	13800
ax	ao	('b-l', 'f1')	0.86347826087	12650
ae	ax	('k-n', 'v2')	0.419372294372	12936
ax	ae	('k-n', 'v2')	0.552870117119	114072
ey	ah	('w-t', 'c1')	0.539129378908	32942
ae	ax	('k-n', 'j1')	0.412903225806	620
ax	ae	('k-n', 'j1')	0.533548387097	4650
ih	ay	('r-t', 's3')	0.5	2
eh	ih	('l-t', 's2')	0.631672670042	739584
ih	eh	('l-t', 's2')	0.533082561728	435456
eh	ih	('hh-r', 'v2')	0.422323251969	164528
ih	eh	('hh-r', 'v2')	0.583446789199	17628
ao	ax	('b-l', 'v2')	0.748366013072	1224
ax	ao	('b-l', 'v2')	0.834150326797	2448
aa	eh	('g-t', 'c1')	0.806349900356	1221342
eh	aa	('g-t', 'c1')	0.899682521358	519720
eh	ih	('l-t', 'v2')	0.569213554987	18768
ih	eh	('l-t', 'v2')	0.657791146762	26928
aa	ah	('w-n', 'v1')	0.58549500238	3933072
ah	aa	('w-n', 'v1')	0.581867135115	5225760
eh	ih	('l-t', 'w3')	0.535811965812	23400
ih	eh	('l-t', 'w3')	0.654642857143	8400
ae	ih	('th-ng', 's2')	0.565301073196	622440
ih	ae	('th-ng', 's2')	0.528616183315	335160
ah	ey	('w-t', 's2')	0.635785007072	11312
ey	ah	('w-t', 's2')	0.547152849613	324816
ah	ax	('r-n', 'q1')	0.0	6
ax	ah	('r-n', 'q1')	0.166666666667	12
er	ih	('t-n', 'v2')	0.785714285714	28
ih	er	('t-n', 'v2')	0.637362637363	364
ae	ax	('k-n', 's3')	0.528205128205	390
ax	ae	('k-n', 's3')	0.547008547009	936
eh	ih	('hh-r', 'j1')	0.516246498599	17850
ih	eh	('hh-r', 'j1')	0.619981325864	2142
aa	ah	('w-n', 'd1')	0.537072077317	1030560
ah	aa	('w-n', 'd1')	0.44594378819	1214976
ah	ax	('s-m', 'd1')	0.556052677481	114660
ax	ah	('s-m', 'd1')	0.465704625045	16562
eh	ih	('l-t', 'j1')	0.67259313014	24804
ih	eh	('l-t', 'j1')	0.818134171908	3816
ah	ax	('s-m', 'j1')	0.485606060606	15840
ax	ah	('s-m', 'j1')	0.613275613276	6930
aa	eh	('g-t', 'm2')	0.768103448276	24360
eh	aa	('g-t', 'm2')	0.676807760141	22680
ah	ax	('s-m', 'v2')	0.610559691205	21762
ax	ah	('s-m', 'v2')	0.670131421744	25110
ah	ax	('s-m', 't1')	0.637504170838	239760
ax	ah	('s-m', 't1')	0.649918436955	107892
ae	uw	('y-SIL', 'c1')	0.78181184669	57400
uw	ae	('y-SIL', 'c1')	0.794486575118	48790
er	ih	('t-n', 'd1')	0.627893518519	3456
ih	er	('t-n', 'd1')	0.658638691883	20304
aa	ih	('m-n', 'v1')	0.906364468864	4368
ih	aa	('m-n', 'v1')	0.975986975987	9828
ae	ih	('th-ng', 'w3')	0.635095137421	18920
ih	ae	('th-ng', 'w3')	0.565909090909	3960
ey	ah	('w-t', 'm2')	0.297570850202	1482
ae	ax	('k-n', 'v1')	0.46522516835	266112
ax	ae	('k-n', 'v1')	0.529145083926	2087316
aa	eh	('g-t', 'q1')	0.707862068966	21750
eh	aa	('g-t', 'q1')	0.878111111111	18000
ae	ih	('th-ng', 'm2')	0.361007357102	17670
ih	ae	('th-ng', 'm2')	0.651009243539	10602
ao	ax	('b-l', 't1')	0.886185243328	5096
ax	ao	('b-l', 't1')	0.9929138322	10584
ah	ax	('r-n', 'j1')	0.6875	480
ax	ah	('r-n', 'j1')	0.834722222222	1440
aa	eh	('g-t', 'f1')	0.664623650416	1877616
eh	aa	('g-t', 'f1')	0.600387725712	2166480
ah	ax	('s-m', 'm2')	0.526923076923	1820
ax	ah	('s-m', 'm2')	0.756349206349	1260
ay	ih	('r-t', 's2')	0.688880503757	246468
ih	ay	('r-t', 's2')	0.75591539572	605454
er	ih	('t-n', 't1')	0.755882352941	340
ih	er	('t-n', 't1')	0.705147058824	1360
eh	ih	('l-t', 's1')	0.569387970242	664020
ih	eh	('l-t', 's1')	0.569250336881	727260
eh	ih	('hh-r', 'v1')	0.519310103225	331122
ih	eh	('hh-r', 'v1')	0.581922675026	19140
ax	ao	('b-l', 'q1')	1.0	2
