talker_2	talker_1	phone_2	phone_1	by	score	n
j1	f1	ao	ax	b-l	0.597888198758	8050
j1	f1	ax	ao	b-l	0.914879227053	10350
j1	f2	ao	ax	b-l	0.667207792208	616
j1	f2	ax	ao	b-l	0.977272727273	792
j1	i1	ao	ax	b-l	0.775714285714	2800
j1	i1	ax	ao	b-l	0.803611111111	3600
j1	m2	ao	ax	b-l	0.69950166113	6020
j1	m2	ax	ao	b-l	0.933591731266	7740
j1	q1	ao	ax	b-l	0.285714285714	28
j1	q1	ax	ao	b-l	1.0	36
j1	s1	ao	ax	b-l	0.700425918168	28644
j1	s1	ax	ao	b-l	0.652085369827	36828
j1	s2	ao	ax	b-l	0.770238095238	35280
j1	s2	ax	ao	b-l	0.86102292769	45360
j1	s3	ao	ax	b-l	0.641071428571	560
j1	s3	ax	ao	b-l	1.0	720
j1	t1	ao	ax	b-l	0.545918367347	5488
j1	t1	ax	ao	b-l	0.991213151927	7056
j1	v1	ao	ax	b-l	0.794878706199	40810
j1	v1	ax	ao	b-l	0.675262054507	52470
j1	v2	ao	ax	b-l	0.703081232493	2142
j1	v2	ax	ao	b-l	0.897966594045	2754
j1	w1	ao	ax	b-l	0.749039938556	5208
j1	w1	ax	ao	b-l	0.998655913978	6696
j1	w3	ao	ax	b-l	0.65873015873	11340
j1	w3	ax	ao	b-l	0.953497942387	14580
m2	c1	ao	ax	b-l	0.600841042893	35670
m2	c1	ax	ao	b-l	0.897457964155	153381
m2	d1	ao	ax	b-l	0.68754027927	18620
m2	d1	ax	ao	b-l	0.833474883221	80066
m2	f1	ao	ax	b-l	0.393913043478	5750
m2	f1	ax	ao	b-l	0.877815975733	24725
m2	f2	ao	ax	b-l	0.631818181818	440
m2	f2	ax	ao	b-l	0.895348837209	1892
m2	i1	ao	ax	b-l	0.861	2000
m2	i1	ax	ao	b-l	0.724186046512	8600
m2	j1	ao	ax	b-l	0.529761904762	2520
m2	j1	ax	ao	b-l	0.954595791805	10836
m2	q1	ao	ax	b-l	0.0	20
m2	q1	ax	ao	b-l	1.0	86
m2	s1	ao	ax	b-l	0.678739002933	20460
m2	s1	ax	ao	b-l	0.611425583669	87978
m2	s2	ao	ax	b-l	0.604682539683	25200
m2	s2	ax	ao	b-l	0.826495016611	108360
m2	s3	ao	ax	b-l	0.4425	400
m2	s3	ax	ao	b-l	0.962209302326	1720
m2	t1	ao	ax	b-l	0.343112244898	3920
m2	t1	ax	ao	b-l	0.955386805885	16856
m2	v1	ao	ax	b-l	0.850325900515	29150
m2	v1	ax	ao	b-l	0.625529538474	125345
m2	v2	ao	ax	b-l	0.513725490196	1530
m2	v2	ax	ao	b-l	0.837057303542	6579
m2	w1	ao	ax	b-l	0.458870967742	3720
m2	w1	ax	ao	b-l	0.972493123281	15996
m2	w3	ao	ax	b-l	0.5	8100
m2	w3	ax	ao	b-l	0.874217628481	34830
q1	c1	ao	ax	b-l	0.32968881413	3567
q1	c1	ax	ao	b-l	0.99873843566	7134
q1	d1	ao	ax	b-l	0.428034371643	1862
q1	d1	ax	ao	b-l	0.939581095596	3724
q1	f1	ao	ax	b-l	0.186086956522	575
q1	f1	ax	ao	b-l	0.920869565217	1150
q1	f2	ao	ax	b-l	0.136363636364	44
q1	f2	ax	ao	b-l	0.977272727273	88
q1	i1	ao	ax	b-l	0.145	200
q1	i1	ax	ao	b-l	0.98	400
q1	j1	ao	ax	b-l	0.420634920635	252
q1	j1	ax	ao	b-l	1.0	504
q1	m2	ao	ax	b-l	0.181395348837	430
q1	m2	ax	ao	b-l	0.979069767442	860
q1	s1	ao	ax	b-l	0.380254154448	2046
q1	s1	ax	ao	b-l	0.8880742913	4092
q1	s2	ao	ax	b-l	0.417063492063	2520
q1	s2	ax	ao	b-l	0.952182539683	5040
q1	s3	ao	ax	b-l	0.0	40
q1	s3	ax	ao	b-l	1.0	80
q1	t1	ao	ax	b-l	0.275510204082	392
q1	t1	ax	ao	b-l	0.998724489796	784
q1	v1	ao	ax	b-l	0.210977701544	2915
q1	v1	ax	ao	b-l	0.942195540309	5830
q1	v2	ao	ax	b-l	0.287581699346	153
q1	v2	ax	ao	b-l	0.928104575163	306
q1	w1	ao	ax	b-l	0.231182795699	372
q1	w1	ax	ao	b-l	1.0	744
q1	w3	ao	ax	b-l	0.037037037037	810
q1	w3	ax	ao	b-l	0.987037037037	1620
s1	c1	ao	ax	b-l	0.398718046742	78474
s1	c1	ax	ao	b-l	0.984870271395	331731
s1	d1	ao	ax	b-l	0.482887413339	40964
s1	d1	ax	ao	b-l	0.929980481157	173166
s1	f1	ao	ax	b-l	0.302687747036	12650
s1	f1	ax	ao	b-l	0.924132772324	53475
s1	f2	ao	ax	b-l	0.269628099174	968
s1	f2	ax	ao	b-l	0.966764418377	4092
s1	i1	ao	ax	b-l	0.573409090909	4400
s1	i1	ax	ao	b-l	0.973333333333	18600
s1	j1	ao	ax	b-l	0.310786435786	5544
s1	j1	ax	ao	b-l	0.988735279058	23436
s1	m2	ao	ax	b-l	0.359725158562	9460
s1	m2	ax	ao	b-l	0.972718179545	39990
s1	q1	ao	ax	b-l	0.0	44
s1	q1	ax	ao	b-l	1.0	186
s1	s2	ao	ax	b-l	0.498575036075	55440
s1	s2	ax	ao	b-l	0.959438470729	234360
s1	s3	ao	ax	b-l	0.182954545455	880
s1	s3	ax	ao	b-l	0.994623655914	3720
s1	t1	ao	ax	b-l	0.178339517625	8624
s1	t1	ax	ao	b-l	0.995089971472	36456
s1	v1	ao	ax	b-l	0.638421955403	64130
s1	v1	ax	ao	b-l	0.940648112285	271095
s1	v2	ao	ax	b-l	0.345811051693	3366
s1	v2	ax	ao	b-l	0.916930212945	14229
s1	w1	ao	ax	b-l	0.310606060606	8184
s1	w1	ax	ao	b-l	0.995201757429	34596
s1	w3	ao	ax	b-l	0.301739618406	17820
s1	w3	ax	ao	b-l	0.961184123191	75330
s2	c1	ao	ax	b-l	0.563844166767	199752
s2	c1	ax	ao	b-l	0.980687163193	160515
s2	d1	ao	ax	b-l	0.634609482891	104272
s2	d1	ax	ao	b-l	0.933046902972	83790
s2	f1	ao	ax	b-l	0.436552795031	32200
s2	f1	ax	ao	b-l	0.927342995169	25875
s2	f2	ao	ax	b-l	0.408685064935	2464
s2	f2	ax	ao	b-l	0.954545454545	1980
s2	i1	ao	ax	b-l	0.635982142857	11200
s2	i1	ax	ao	b-l	0.951	9000
s2	j1	ao	ax	b-l	0.509282879819	14112
s2	j1	ax	ao	b-l	0.988271604938	11340
s2	m2	ao	ax	b-l	0.49842192691	24080
