"speakerpairs"	"contrasts"	"mean_score_temp"	"sp_type"	"c_type"
"c1-f2"	"l-t"	0.64757331356925	"b"	"C"
"c1-f2"	"l-w"	0.490642303433	"b"	"C"
"c1-f2"	"l-y"	0.7149738965355	"b"	"C"
"c1-f2"	"m-n"	0.50730270071475	"b"	"C"
"c1-f2"	"m-t"	0.57678385416675	"b"	"C"
"c1-f2"	"m-w"	0.67295780100675	"b"	"C"
"c1-f2"	"n-r"	0.59861111111125	"b"	"C"
"c1-f2"	"n-t"	0.448475693099938	"b"	"C"
"c1-f2"	"ng-s"	0.8213541666665	"b"	"C"
"c1-f2"	"s-th"	0.451286764706	"b"	"C"
"c1-f2"	"t-v"	0.5138020833335	"b"	"C"
"c1-f2"	"t-w"	0.6646303258145	"b"	"C"
"c1-f2"	"t-y"	0.80066237021125	"b"	"C"
"c1-f2"	"w-y"	0.6536483641075	"b"	"C"
"c1-i1"	"aa-ah"	0.51615048437325	"b"	"V"
"c1-i1"	"aa-eh"	0.788172675061	"b"	"V"
"c1-i1"	"aa-ih"	0.75287828947375	"b"	"V"
"c1-i1"	"ae-ax"	0.51447129561775	"b"	"V"
"c1-i1"	"ae-ih"	0.666852104722	"b"	"V"
"c1-i1"	"ae-uw"	0.688205574913	"b"	"V"
"c1-i1"	"ah-ax"	0.602518925311875	"b"	"V"
"c1-i1"	"ah-ey"	0.625257554945	"b"	"V"
"c1-i1"	"ao-ax"	0.8073545696665	"b"	"V"
"c1-i1"	"ay-ih"	0.63605735619275	"b"	"V"
"c1-i1"	"b-ch"	0.7511363636365	"b"	"C"
"c1-i1"	"b-g"	0.668115942029	"b"	"C"
"c1-i1"	"b-hh"	0.553466847268833	"b"	"C"
"c1-i1"	"b-jh"	0.73076171875	"b"	"C"
"c1-i1"	"b-k"	0.60328099634725	"b"	"C"
"c1-i1"	"b-l"	0.74424803591475	"b"	"C"
"c1-i1"	"b-s"	0.5562415689755	"b"	"C"
"c1-i1"	"b-t"	0.657738095238	"b"	"C"
"c1-i1"	"b-th"	0.49755206430375	"b"	"C"
"c1-i1"	"b-w"	0.58097005208325	"b"	"C"
"c1-i1"	"ch-g"	0.621212121212	"b"	"C"
"c1-i1"	"ch-hh"	0.78249289772725	"b"	"C"
"c1-i1"	"ch-s"	0.715956439394	"b"	"C"
"c1-i1"	"ch-th"	0.72727272727275	"b"	"C"
"c1-i1"	"d-g"	0.538886556405	"b"	"C"
"c1-i1"	"d-m"	0.8174542682925	"b"	"C"
"c1-i1"	"d-n"	0.556102667494	"b"	"C"
"c1-i1"	"d-w"	0.746865373170875	"b"	"C"
"c1-i1"	"dh-g"	0.461209842788687	"b"	"C"
"c1-i1"	"dh-hh"	0.47840328669775	"b"	"C"
"c1-i1"	"dh-k"	0.72178018886875	"b"	"C"
"c1-i1"	"dh-l"	0.554654176403	"b"	"C"
"c1-i1"	"dh-t"	0.510901834565917	"b"	"C"
"c1-i1"	"dh-w"	0.50710786707025	"b"	"C"
"c1-i1"	"dh-y"	0.563630124293375	"b"	"C"
"c1-i1"	"eh-ih"	0.567833201930875	"b"	"V"
"c1-i1"	"er-ih"	0.55071331521725	"b"	"V"
"c1-i1"	"f-g"	0.4895408163265	"b"	"C"
"c1-i1"	"g-hh"	0.6855324074075	"b"	"C"
"c1-i1"	"g-l"	0.5805647840535	"b"	"C"
"c1-i1"	"g-m"	0.7578866023035	"b"	"C"
"c1-i1"	"g-n"	0.62208210823275	"b"	"C"
"c1-i1"	"g-s"	0.66215277777775	"b"	"C"
"c1-i1"	"g-t"	0.5728383458645	"b"	"C"
"c1-i1"	"g-th"	0.71988795518225	"b"	"C"
"c1-i1"	"g-w"	0.6347958888415	"b"	"C"
"c1-i1"	"g-y"	0.4279572940286	"b"	"C"
"c1-i1"	"hh-jh"	0.76509296594975	"b"	"C"
"c1-i1"	"hh-k"	0.6711292425425	"b"	"C"
"c1-i1"	"hh-s"	0.6157613779845	"b"	"C"
"c1-i1"	"hh-th"	0.55230071195175	"b"	"C"
"c1-i1"	"hh-w"	0.6985458980485	"b"	"C"
"c1-i1"	"hh-y"	0.51577532541025	"b"	"C"
"c1-i1"	"jh-k"	0.64836647727275	"b"	"C"
"c1-i1"	"jh-w"	0.74377604166675	"b"	"C"
"c1-i1"	"k-n"	0.81499159117825	"b"	"C"
"c1-i1"	"k-t"	0.64784869393675	"b"	"C"
"c1-i1"	"k-w"	0.70880275974025	"b"	"C"
"c1-i1"	"k-y"	0.5762587472265	"b"	"C"
"c1-i1"	"l-t"	0.64354062846075	"b"	"C"
"c1-i1"	"l-w"	0.4751423825345	"b"	"C"
"c1-i1"	"l-y"	0.6513127537835	"b"	"C"
"c1-i1"	"m-n"	0.521818482803	"b"	"C"
"c1-i1"	"m-t"	0.57094823232325	"b"	"C"
"c1-i1"	"m-w"	0.59688346883475	"b"	"C"
"c1-i1"	"n-r"	0.73253102022075	"b"	"C"
"c1-i1"	"n-t"	0.588770508219875	"b"	"C"
"c1-i1"	"ng-s"	0.75843434343425	"b"	"C"
"c1-i1"	"s-th"	0.56700805322125	"b"	"C"
"c1-i1"	"t-v"	0.50931712962975	"b"	"C"
"c1-i1"	"t-w"	0.45103831006075	"b"	"C"
"c1-i1"	"t-y"	0.50717070453925	"b"	"C"
"c1-i1"	"w-y"	0.6363423676345	"b"	"C"
"c1-j1"	"aa-ah"	0.48859942147975	"b"	"V"
"c1-j1"	"aa-eh"	0.85846730742825	"b"	"V"
"c1-j1"	"aa-ih"	0.8270833333335	"b"	"V"
"c1-j1"	"ae-ax"	0.48285682394425	"b"	"V"
"c1-j1"	"ae-ih"	0.533733974359	"b"	"V"
"c1-j1"	"ae-uw"	0.7895843703335	"b"	"V"
"c1-j1"	"ah-ax"	0.6399017767515	"b"	"V"
"c1-j1"	"ah-ey"	0.66708236938525	"b"	"V"
"c1-j1"	"ao-ax"	0.843145778543	"b"	"V"
"c1-j1"	"ay-ih"	0.7474504727265	"b"	"V"
"c1-j1"	"b-ch"	0.81548913043475	"b"	"C"
"c1-j1"	"b-g"	0.550543478260825	"b"	"C"
"c1-j1"	"b-hh"	0.511442615676917	"b"	"C"
"c1-j1"	"b-jh"	0.65286458333325	"b"	"C"
"c1-j1"	"b-k"	0.575501104798	"b"	"C"
"c1-j1"	"b-l"	0.6494633838385	"b"	"C"
"c1-j1"	"b-s"	0.611000398491875	"b"	"C"
"c1-j1"	"b-t"	0.59755291005275	"b"	"C"
"c1-j1"	"b-th"	0.60209931798825	"b"	"C"
"c1-j1"	"b-w"	0.51469017094025	"b"	"C"
"c1-j1"	"ch-g"	0.578125	"b"	"C"
"c1-j1"	"ch-hh"	0.84685329861125	"b"	"C"
"c1-j1"	"ch-s"	0.5696614583335	"b"	"C"
"c1-j1"	"ch-th"	0.81533394607825	"b"	"C"
"c1-j1"	"d-g"	0.515140054977625	"b"	"C"
"c1-j1"	"d-m"	0.62024199695125	"b"	"C"
"c1-j1"	"d-n"	0.60420851549875	"b"	"C"
"c1-j1"	"d-w"	0.754725273803625	"b"	"C"
"c1-j1"	"dh-g"	0.60007026279625	"b"	"C"
"c1-j1"	"dh-hh"	0.53607822058025	"b"	"C"
"c1-j1"	"dh-k"	0.76320072332725	"b"	"C"
"c1-j1"	"dh-l"	0.52608376935175	"b"	"C"
"c1-j1"	"dh-t"	0.639630868723333	"b"	"C"
"c1-j1"	"dh-w"	0.52305342683625	"b"	"C"
"c1-j1"	"dh-y"	0.53260991889675	"b"	"C"
"c1-j1"	"eh-ih"	0.5763119982715	"b"	"V"
"c1-j1"	"er-ih"	0.70896739130425	"b"	"V"
"c1-j1"	"f-g"	0.5742346938775	"b"	"C"
"c1-j1"	"g-hh"	0.421527777778	"b"	"C"
"c1-j1"	"g-l"	0.677457211082	"b"	"C"
"c1-j1"	"g-m"	0.618438159592	"b"	"C"
"c1-j1"	"g-n"	0.628971028971	"b"	"C"
"c1-j1"	"g-s"	0.39453125000025	"b"	"C"
"c1-j1"	"g-t"	0.681424543502	"b"	"C"
"c1-j1"	"g-th"	0.51256127450975	"b"	"C"
"c1-j1"	"g-w"	0.698219979347875	"b"	"C"
"c1-j1"	"g-y"	0.5772387861395	"b"	"C"
"c1-j1"	"hh-jh"	0.8574588477365	"b"	"C"
"c1-j1"	"hh-k"	0.69039086088525	"b"	"C"
"c1-j1"	"hh-s"	0.631002817892625	"b"	"C"
"c1-j1"	"hh-th"	0.5782118055555	"b"	"C"
"c1-j1"	"hh-w"	0.72585153529575	"b"	"C"
"c1-j1"	"hh-y"	0.54425580079225	"b"	"C"
"c1-j1"	"jh-k"	0.67908775252525	"b"	"C"
"c1-j1"	"jh-w"	0.80625000000025	"b"	"C"
"c1-j1"	"k-n"	0.66927083333325	"b"	"C"
"c1-j1"	"k-t"	0.596765304926167	"b"	"C"
"c1-j1"	"k-w"	0.747801087801	"b"	"C"
"c1-j1"	"k-y"	0.64285253456225	"b"	"C"
"c1-j1"	"l-t"	0.763631450549625	"b"	"C"
"c1-j1"	"l-w"	0.45056903575375	"b"	"C"
"c1-j1"	"l-y"	0.54849311817775	"b"	"C"
"c1-j1"	"m-n"	0.49350838893925	"b"	"C"
"c1-j1"	"m-t"	0.5652295040015	"b"	"C"
"c1-j1"	"m-w"	0.5948509485095	"b"	"C"
"c1-j1"	"n-r"	0.65362413194475	"b"	"C"
"c1-j1"	"n-t"	0.546825670253	"b"	"C"
"c1-j1"	"ng-s"	0.72884038800725	"b"	"C"
"c1-j1"	"s-th"	0.58391416462425	"b"	"C"
"c1-j1"	"t-v"	0.50590277777775	"b"	"C"
"c1-j1"	"t-w"	0.640641783029	"b"	"C"
